CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE266416,06/15/2021 12:15:00 AM,115XX S YALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE - PORCH / HALLWAY,N,Y,522,34,26,1176675,1828470,41.6846634,-87.6288705,"(41.684663397, -87.628870501)"
JE266853,06/15/2021 09:43:00 AM,077XX S YATES BLVD,560,ASSAULT,SIMPLE,APARTMENT,N,Y,421,7,08A,1193543,1854043,41.75444309,-87.56628824,"(41.754443092, -87.566288239)"
JE266537,06/15/2021 08:10:00 AM,099XX S WESTERN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2213,19,7,1162136,1838580,41.71272093,-87.68181398,"(41.712720927, -87.681813981)"
JE266578,06/15/2021 09:10:00 AM,010XX E 79TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,624,8,04B,1184509,1852836,41.75134722,-87.59943231,"(41.751347216, -87.59943231)"
JE267110,06/15/2021 04:20:00 AM,001XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,114,42,6,1177271,1901522,41.88511212,-87.62448405,"(41.885112119, -87.624484053)"
JE267092,06/15/2021 08:25:00 AM,029XX N LINDER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2514,31,14,1139193,1919067,41.93403561,-87.76388628,"(41.934035613, -87.763886276)"
JE266388,06/15/2021 12:45:00 AM,011XX N LAKE SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1824,2,01A,1177197,1907909,41.90264004,-87.62456204,"(41.902640036, -87.624562043)"
JE267498,06/15/2021 10:45:00 PM,038XX W FLOURNOY ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,1133,24,01A,1150880,1896755,41.87258826,-87.72152125,"(41.872588258, -87.721521251)"
JE267253,06/15/2021 01:00:00 AM,033XX N KENNETH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1731,30,08B,1146127,1921794,41.94138954,-87.73833416,"(41.941389537, -87.738334157)"
JE267251,06/15/2021 04:30:00 PM,003XX S SACRAMENTO BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,1124,28,3,1156435,1898257,41.87659944,-87.70108563,"(41.876599436, -87.701085626)"
JE143283,02/16/2021 05:35:00 PM,017XX W 119TH ST,460,BATTERY,SIMPLE,RESTAURANT,N,N,2234,34,08B,1166691,1825767,41.67746412,-87.6654959,"(41.677464116, -87.665495904)"
JD390623,09/30/2020 12:00:00 PM,018XX N Sedgwick St,810,THEFT,OVER $500,RESIDENCE,N,N,1814,43,6,1173303,1912547,41.91545433,-87.63872727,"(41.915454333, -87.638727274)"
