CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD363935,9/11/2020 11:30,077XX S INDIANA AVE,820,THEFT,$500 AND UNDER,STREET,N,N,623,6,6,1178933,1853783,41.75407459,-87.61983668,"(41.754074592, -87.61983668)"
JD364359,9/11/2020 21:51,008XX E 65TH ST,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",ALLEY,N,N,312,20,08B,1183167,1862099,41.77679711,-87.60406225,"(41.77679711, -87.604062246)"
JD392753,10/08/2020 0:30,089XX S THROOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,N,N,2222,21,14,1169231,1845373,41.73121168,-87.65563394,"(41.731211675, -87.655633942)"
JD397010,8/10/2020 14:00,017XX E 78TH ST,810,THEFT,OVER $500,RESIDENCE,N,N,414,8,6,1189351,1853609,41.75335369,-87.58166425,"(41.75335369, -87.581664252)"
JD363595,9/11/2020 10:30,009XX W WEED ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1822,27,6,1169814,1910460,41.90980431,-87.65160639,"(41.909804314, -87.651606387)"
JD363825,9/11/2020 13:50,039XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),N,N,2535,26,14,1149951,1910348,41.909907,-87.72457799,"(41.909907002, -87.724577987)"
JD460280,12/11/2020 1:09,014XX W BERTEAU AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,1912,47,26,1165901,1927993,41.95800024,-87.66547932,"(41.958000244, -87.665479316)"
JD364078,9/11/2020 17:06,0000X W CHICAGO AVE,560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,1832,2,08A,1175959,1905721,41.89666404,-87.62917534,"(41.896664035, -87.629175344)"
JD363330,9/11/2020 1:10,001XX N LECLAIRE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,N,Y,1532,28,04B,1142348,1900803,41.88385909,-87.7527459,"(41.883859085, -87.752745896)"
JD363303,9/11/2020 0:07,040XX S LAKE PARK AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,214,4,3,1183552,1878648,41.82219993,-87.6021348,"(41.822199933, -87.602134797)"
JD367717,9/07/2020 10:00,048XX N HERMITAGE AVE,890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,2032,47,6,1163924,1932310,41.96988833,-87.67262506,"(41.969888326, -87.672625061)"
JD364049,9/11/2020 16:53,034XX N SOUTHPORT AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,N,1922,44,08A,1166362,1922861,41.94390794,-87.66393189,"(41.943907938, -87.663931887)"
JD363558,9/11/2020 9:20,071XX S ABERDEEN ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,Y,Y,733,6,26,1170217,1857474,41.76439709,-87.65167067,"(41.764397089, -87.651670668)"
JD365738,9/11/2020 20:40,089XX S LOOMIS ST,820,THEFT,$500 AND UNDER,STREET,N,N,2222,21,6,1168564,1845472,41.73149773,-87.65807457,"(41.731497731, -87.658074565)"
JE129770,2/01/2021 22:36,0000X W ONTARIO ST,460,BATTERY,SIMPLE,SIDEWALK,Y,N,1832,42,08B,1175651,1904471,41.8932409,-87.63034418,"(41.893240902, -87.630344179)"
JD364404,9/11/2020 23:15,079XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,GAS STATION,N,N,611,21,6,1167051,1852159,41.74988027,-87.66342658,"(41.749880266, -87.663426578)"
JD392678,10/08/2020 11:35,010XX N AVERS AVE,1330,CRIMINAL TRESPASS,TO LAND,ABANDONED BUILDING,Y,N,1112,37,26,1150531,1906569,41.89952574,-87.72254614,"(41.899525741, -87.722546136)"
JE129294,2/01/2021 14:32,037XX N RECREATION DR,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1925,46,6,1171826,1925510,41.95105804,-87.64377054,"(41.951058037, -87.643770543)"
JD363440,9/11/2020 6:40,067XX S EAST END AVE,560,ASSAULT,SIMPLE,APARTMENT,N,Y,332,5,08A,1188697,1860575,41.77248465,-87.58383846,"(41.772484654, -87.583838456)"
JD365301,9/11/2020 18:30,002XX W NORTH AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1814,2,6,1174063,1910985,41.91115121,-87.63598179,"(41.911151209, -87.63598179)"
JD363588,9/11/2020 10:30,057XX W CORCORAN PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1512,29,08B,1137827,1901979,41.88716892,-87.76931931,"(41.887168915, -87.769319312)"
JD368369,08/29/2020 11:35:00 PM,016XX W WABANSIA AVE,810,THEFT,OVER $500,STREET,N,N,1433,32,6,1165213,1911385,41.91244168,-87.66848214,"(41.912441678, -87.668482136)"
JD363705,9/11/2020 12:04,003XX W 109TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,513,34,14,1175972,1832311,41.69521943,-87.63132939,"(41.695219426, -87.631329392)"
JD363765,9/11/2020 10:30,080XX S INGLESIDE AVE,820,THEFT,$500 AND UNDER,STREET,N,N,631,8,6,1183962,1851820,41.74857199,-87.60146844,"(41.748571992, -87.601468444)"
JD363967,9/11/2020 15:30,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,CLEANING STORE,Y,N,833,18,6,1145727,1853720,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
JD430058,11/08/2020 14:10,016XX W SCHOOL ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,1922,47,11,,,,,
JE117953,01/18/2021 09:00:00 PM,027XX W FULTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1222,27,14,1158261,1901899,41.88655632,-87.69428155,"(41.886556321, -87.694281545)"
JD363828,9/11/2020 14:00,054XX W CHICAGO AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,OTHER (SPECIFY),N,N,1524,37,11,1139890,1904803,41.89488086,-87.76167418,"(41.894880861, -87.761674181)"
JE116684,01/18/2021 08:46:00 PM,022XX N ROCKWELL ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,N,N,1431,1,15,1158576,1914851,41.92209123,-87.69276962,"(41.922091234, -87.692769617)"
JD363669,9/11/2020 11:40,045XX W WILCOX ST,560,ASSAULT,SIMPLE,SIDEWALK,N,N,1113,28,08A,1146260,1898956,41.87871718,-87.73842751,"(41.878717176, -87.738427509)"
JD364202,9/11/2020 19:10,043XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1915,46,6,1168812,1929247,41.96137851,-87.65474101,"(41.96137851, -87.65474101)"
JE128852,2/01/2021 5:00,130XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,N,533,9,04A,1185302,1818817,41.6579763,-87.59759144,"(41.657976301, -87.597591439)"
JD363832,9/11/2020 12:53,039XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,833,13,14,1151130,1857226,41.76411032,-87.72163653,"(41.764110316, -87.721636532)"
JE116346,01/18/2021 01:41:00 PM,073XX S SOUTH SHORE DR,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,334,7,11,1195227,1857340,41.76344894,-87.56000842,"(41.763448937, -87.560008415)"
JD364786,9/11/2020 9:00,022XX N HAMILTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1432,32,7,1161658,1914768,41.92179974,-87.68144778,"(41.921799743, -87.681447778)"
JD363998,9/11/2020 0:01,039XX S LAKE PARK AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,214,4,7,1183296,1879171,41.82364106,-87.60305763,"(41.823641056, -87.603057627)"
JD363464,9/11/2020 1:36,078XX S EBERHART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,624,6,14,1180934,1853093,41.75213539,-87.61252493,"(41.752135385, -87.612524926)"
JD364265,9/11/2020 21:07,007XX E 130TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT / GROUNDS,N,N,533,9,15,1183413,1819068,41.65870912,-87.60449585,"(41.658709121, -87.604495853)"
JD363555,9/11/2020 9:50,001XX E 71ST ST,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,OTHER (SPECIFY),N,N,323,6,04A,1178545,1857977,41.76559222,-87.62113132,"(41.765592215, -87.621131315)"
JD363734,9/11/2020 12:40,025XX N ELSTON AVE,860,THEFT,RETAIL THEFT,APPLIANCE STORE,Y,N,1432,1,6,1161467,1917112,41.92823582,-87.68208415,"(41.928235818, -87.682084152)"
JD363839,9/11/2020 0:30,023XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1225,27,14,1160870,1898642,41.87756511,-87.68479102,"(41.877565108, -87.68479102)"
JD365823,9/11/2020 22:00,101XX S COMMERCIAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,431,10,14,1197648,1838329,41.7112212,-87.55176794,"(41.711221197, -87.55176794)"
JD363416,9/11/2020 5:00,011XX S DELANO CT E,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,123,25,26,1175202,1895298,41.86807973,-87.63226837,"(41.868079726, -87.632268373)"
JD392985,10/08/2020 12:30,017XX N MANGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),N,N,2531,29,14,1137809,1910806,41.91139162,-87.76917225,"(41.911391616, -87.769172251)"
JD363890,9/11/2020 10:30,031XX S WALLACE ST,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,915,11,6,1172806,1884115,41.83744606,-87.6413953,"(41.837446056, -87.641395295)"
JD363444,9/11/2020 2:40,037XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1732,30,14,1150874,1922348,41.94281802,-87.72087237,"(41.942818016, -87.720872365)"
JD365758,9/11/2020 8:40,026XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1935,43,6,1171818,1918166,41.930906,-87.64401704,"(41.930906002, -87.644017035)"
JD364388,9/11/2020 22:34,027XX W DIVISION ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1423,26,15,1157848,1907865,41.90293598,-87.69563535,"(41.902935983, -87.695635352)"
JD364395,9/11/2020 23:29,016XX N CENTRAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2531,29,08B,1138801,1910412,41.91029247,-87.76553749,"(41.910292472, -87.765537492)"
JD363955,9/11/2020 16:00,065XX S INGLESIDE AVE,460,BATTERY,SIMPLE,STREET,N,N,321,20,08B,1183685,1861763,41.77586303,-87.60217377,"(41.775863025, -87.602173771)"
JD364715,9/11/2020 22:00,066XX S WINCHESTER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,726,15,7,1164498,1860722,41.7734325,-87.67254086,"(41.7734325, -87.672540855)"
JD364614,9/11/2020 7:00,121XX S STEWART AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,523,34,5,1175810,1824523,41.67385158,-87.6321546,"(41.673851579, -87.6321546)"
JD364201,9/11/2020 18:00,011XX S HAMILTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,GOVERNMENT BUILDING / PROPERTY,N,N,1225,27,14,1162121,1895023,41.86760821,-87.68029878,"(41.867608211, -87.680298775)"
JD363399,9/11/2020 6:14,069XX S CLYDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,331,5,08B,1191408,1859410,41.76922254,-87.57393858,"(41.769222543, -87.573938576)"
JD367233,9/11/2020 12:00,042XX N LOWELL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1722,39,7,1146459,1928030,41.95849531,-87.73695443,"(41.958495311, -87.736954429)"
JD363676,9/11/2020 11:20,005XX E 33RD ST,650,BURGLARY,HOME INVASION,APARTMENT,N,N,211,4,5,1180360,1883173,41.83469081,-87.61370565,"(41.834690813, -87.613705645)"
JE116615,01/18/2021 08:17:00 PM,019XX E 95TH ST,820,THEFT,$500 AND UNDER,RESTAURANT,N,N,431,7,6,1190971,1842365,41.72246011,-87.57609021,"(41.722460108, -87.576090212)"
JE116629,01/18/2021 08:31:00 PM,006XX W 69TH ST,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,Y,N,732,6,26,1173018,1859134,41.76889096,-87.64135536,"(41.768890957, -87.641355361)"
JD366860,9/11/2020 16:00,019XX N AUSTIN AVE,810,THEFT,OVER $500,VEHICLE - COMMERCIAL,N,N,2513,29,6,1136098,1912178,41.91518726,-87.77542523,"(41.915187259, -87.775425225)"
JE129746,2/01/2021 21:17,045XX S WESTERN BLVD,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,924,12,6,1161289,1874276,41.81069352,-87.68392905,"(41.810693516, -87.683929054)"
JD350111,08/30/2020 01:31:00 AM,093XX S WENTWORTH AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,Y,N,634,21,24,1176590,1843118,41.7248615,-87.62874294,"(41.724861497, -87.628742936)"
JD364187,9/11/2020 13:00,043XX N CICERO AVE,820,THEFT,$500 AND UNDER,RESTAURANT,N,N,1624,45,6,1143589,1928359,41.95945244,-87.74749749,"(41.95945244, -87.747497487)"
JD368268,9/10/2020 15:30,073XX S OAKLEY AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,835,18,5,1162342,1855971,41.76044027,-87.68057647,"(41.76044027, -87.680576465)"
JD367990,08/22/2020 11:00:00 AM,069XX S WENTWORTH AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,731,6,5,1176160,1858920,41.76823377,-87.62984479,"(41.768233772, -87.629844792)"
JD363690,9/11/2020 11:35,079XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,N,612,21,14,1167710,1852264,41.7501543,-87.66100871,"(41.750154295, -87.661008708)"
JD392352,10/08/2020 1:33,003XX E 56TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,231,20,15,1179106,1867953,41.7929546,-87.61877124,"(41.792954596, -87.61877124)"
JD392631,10/08/2020 11:30,054XX W SCHOOL ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1633,30,6,1139569,1921409,41.94045544,-87.76244715,"(41.940455438, -87.762447151)"
JE115923,01/18/2021 12:11:00 AM,005XX E 88TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,632,9,26,1181349,1846753,41.73472816,-87.61119912,"(41.734728159, -87.611199118)"
JD367874,9/11/2020 13:00,028XX W 83RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,835,18,14,1158787,1849142,41.74177371,-87.69379178,"(41.741773713, -87.693791783)"
JD363807,9/11/2020 11:30,062XX S PARK SHORE EAST CT,560,ASSAULT,SIMPLE,APARTMENT,N,N,314,5,08A,1187570,1863935,41.78173165,-87.58786289,"(41.781731648, -87.587862886)"
JD392521,10/08/2020 9:28,078XX S COLES AVE,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,APARTMENT,N,Y,421,7,26,1197599,1853596,41.7531163,-87.55143947,"(41.753116299, -87.551439474)"
JD364283,9/11/2020 20:40,009XX W FULLERTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1812,43,7,1169719,1916145,41.92540633,-87.65178941,"(41.925406329, -87.651789407)"
JD363639,9/11/2020 11:00,075XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,411,8,08B,1188125,1855118,41.75752383,-87.58610899,"(41.75752383, -87.586108987)"
JD364358,9/11/2020 21:39,006XX N STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1832,42,15,1176258,1904560,41.89347145,-87.62811223,"(41.893471454, -87.628112229)"
JD397344,10/05/2020 0:00,047XX N KEATING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1722,39,26,1143843,1931027,41.96676888,-87.74649648,"(41.966768881, -87.746496484)"
JE116490,01/18/2021 04:58:00 PM,008XX E 63RD ST,460,BATTERY,SIMPLE,GAS STATION,N,N,313,20,08B,1183247,1863427,41.7804394,-87.60372767,"(41.780439401, -87.603727666)"
JD364610,9/11/2020 23:45,068XX S CRANDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,331,5,14,1192499,1860155,41.77124038,-87.56991532,"(41.771240376, -87.569915317)"
JE116382,01/18/2021 03:00:00 PM,030XX W ROOSEVELT RD,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,N,N,1134,28,3,1156119,1894552,41.86643892,-87.70234588,"(41.866438916, -87.70234588)"
JD364537,9/11/2020 19:00,033XX N MOBILE AVE,810,THEFT,OVER $500,STREET,N,N,1633,36,6,1133802,1921756,41.94151108,-87.78363504,"(41.941511079, -87.783635036)"
JD364364,9/11/2020 22:45,038XX N HAMILTON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - GARAGE,N,N,1921,47,26,1161338,1925540,41.95136544,-87.68232299,"(41.951365441, -87.682322987)"
JD367160,9/11/2020 11:42,080XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,623,6,14,1179867,1851824,41.74867757,-87.61647372,"(41.74867757, -87.616473722)"
JE117160,01/18/2021 09:00:00 PM,053XX N SHERIDAN RD,810,THEFT,OVER $500,APARTMENT,N,N,2023,48,6,1168675,1935712,41.97912164,-87.65505652,"(41.97912164, -87.655056515)"
JD363420,9/11/2020 6:50,084XX S KIMBARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,412,8,14,1186452,1849268,41.74151057,-87.59242484,"(41.741510566, -87.592424836)"
JD368017,9/03/2020 13:00,118XX S LAFAYETTE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,522,34,6,1178044,1826399,41.67894943,-87.62392142,"(41.678949434, -87.623921422)"
JD364238,9/11/2020 18:00,027XX W 68TH ST,484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,N,N,831,17,08B,1159381,1859440,41.77002086,-87.6913338,"(41.770020864, -87.6913338)"
JD363987,9/11/2020 13:55,018XX S FAIRFIELD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1023,24,11,1158324,1890870,41.85629037,-87.69435169,"(41.856290366, -87.694351687)"
JD363324,9/11/2020 0:41,072XX S KOSTNER AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,833,18,15,1148140,1856355,41.76177797,-87.73261805,"(41.761777968, -87.732618053)"
JD364734,9/11/2020 15:30,096XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,2213,21,14,1170391,1840913,41.71894764,-87.65151385,"(41.718947644, -87.651513846)"
JD364717,9/11/2020 18:45,003XX S DEARBORN ST,810,THEFT,OVER $500,BAR OR TAVERN,N,N,113,4,6,1175987,1898766,41.8775785,-87.62928209,"(41.877578503, -87.629282088)"
JD364076,9/11/2020 17:14,125XX S EGGLESTON AVE,560,ASSAULT,SIMPLE,ALLEY,N,Y,523,9,08A,1175570,1821942,41.66677426,-87.63310978,"(41.666774255, -87.633109784)"
JD363895,9/11/2020 13:03,011XX N CLARK ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,Y,N,1824,2,26,1175334,1907851,41.90252292,-87.63140683,"(41.902522915, -87.63140683)"
JD393022,10/08/2020 16:37,059XX S ROCKWELL ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,Y,Y,824,16,26,1160058,1865157,41.78569522,-87.68869509,"(41.785695223, -87.688695094)"
JD364757,9/11/2020 16:00,059XX W CORNELIA AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1633,36,6,1136199,1922664,41.94396021,-87.7748032,"(41.943960208, -87.774803199)"
JD364290,9/11/2020 21:07,016XX N MILWAUKEE AVE,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,N,N,1434,2,26,1162627,1910739,41.91072362,-87.67800053,"(41.910723622, -87.67800053)"
JD393295,10/08/2020 21:00,030XX N PULASKI RD,460,BATTERY,SIMPLE,CONVENIENCE STORE,N,N,2523,30,08B,1149201,1919750,41.93572152,-87.72708902,"(41.935721524, -87.727089019)"
JD392924,10/08/2020 15:32,013XX S KILDARE AVE,031A,ROBBERY,ARMED - HANDGUN,VEHICLE NON-COMMERCIAL,N,N,1011,24,3,1147930,1893472,41.8636365,-87.7324365,"(41.8636365, -87.732436501)"
JD364407,9/11/2020 23:40,038XX N OAKLEY AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1921,47,3,1160352,1925379,41.95094414,-87.68595196,"(41.950944143, -87.685951963)"
JD367664,08/19/2020 12:01:00 AM,014XX W Winnemac Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,2033,47,11,1165559,1933597,41.97338514,-87.6665763,"(41.973385143, -87.666576299)"
JD364406,9/11/2020 23:40,008XX W 119TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,N,N,524,34,14,1172868,1825938,41.67779976,-87.64288112,"(41.677799762, -87.642881123)"
JD363698,9/11/2020 6:45,057XX S WENTWORTH AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,GOVERNMENT BUILDING / PROPERTY,N,N,232,20,26,1175943,1867054,41.79055921,-87.63039647,"(41.790559208, -87.630396474)"
JD367371,9/11/2020 11:00,0000X S KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,1124,28,11,1155056,1899700,41.88058694,-87.70611017,"(41.880586939, -87.706110174)"
JD368027,9/11/2020 18:00,012XX E 53RD ST,320,ROBBERY,STRONG ARM - NO WEAPON,ATM (AUTOMATIC TELLER MACHINE),N,N,234,4,3,1185239,1870376,41.79946141,-87.59620632,"(41.799461412, -87.596206318)"
JE117107,01/18/2021 09:30:00 PM,070XX S EGGLESTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,732,6,7,1174496,1858265,41.76647356,-87.63596358,"(41.766473561, -87.635963581)"
JD393308,10/08/2020 20:52,018XX S KARLOV AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,N,Y,1012,24,04B,1149356,1890665,41.85590624,-87.72727443,"(41.855906242, -87.727274434)"
JD364698,9/11/2020 14:00,064XX S RICHMOND ST,820,THEFT,$500 AND UNDER,APARTMENT,N,Y,823,17,6,1157822,1861811,41.77655903,-87.69698417,"(41.776559029, -87.696984171)"
JE131355,2/01/2021 0:00,015XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,132,3,14,1178341,1893023,41.86176606,-87.62081396,"(41.861766064, -87.620813958)"
JD363787,9/11/2020 9:40,037XX S COTTAGE GROVE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,212,4,08B,1181883,1880210,41.82652499,-87.60820918,"(41.826524987, -87.608209181)"
JD365854,9/11/2020 18:30,008XX W KINZIE ST,810,THEFT,OVER $500,STREET,N,N,1214,27,6,1170560,1902893,41.88902371,-87.64908762,"(41.889023706, -87.649087622)"
JD363302,9/11/2020 0:08,061XX N SEELEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413,40,08B,1161553,1940549,41.99254631,-87.68111262,"(41.992546309, -87.681112615)"
JD363685,9/11/2020 11:30,007XX E 112TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,N,Y,531,9,08A,1182983,1830834,41.69100667,-87.60570575,"(41.691006669, -87.605705749)"
JD450146,12/05/2020 9:00,063XX S YALE AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,722,20,08B,1175586,1863086,41.7796786,-87.6318242,"(41.779678601, -87.631824203)"
JD367353,9/07/2020 18:00,039XX S WELLS ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,925,3,7,1175263,1878937,41.82318252,-87.63253456,"(41.823182522, -87.632534564)"
JD365002,9/11/2020 16:00,042XX W GLADYS AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1132,28,6,1148145,1898016,41.87610165,-87.7315303,"(41.876101645, -87.731530297)"
JE116602,01/18/2021 08:00:00 PM,079XX S EAST END AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,414,8,08B,1189026,1852775,41.7510729,-87.5828819,"(41.751072904, -87.582881895)"
JD363966,9/11/2020 15:45,013XX W 74TH ST,460,BATTERY,SIMPLE,OTHER (SPECIFY),N,N,734,17,08B,1168583,1855691,41.75953968,-87.65771103,"(41.75953968, -87.657711025)"
JD363969,9/11/2020 15:40,056XX N CENTRAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1622,45,14,1137864,1937080,41.98348911,-87.76833393,"(41.983489107, -87.768333926)"
JD368849,9/04/2020 13:00,022XX W 21ST ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,N,N,1234,25,5,1161782,1890028,41.85390852,-87.68168248,"(41.853908516, -87.681682483)"
JD364713,9/11/2020 12:00,048XX S DREXEL BLVD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,223,4,11,1183005,1873039,41.80682118,-87.60431604,"(41.806821175, -87.604316037)"
JD364348,9/11/2020 15:00,016XX W VAN BUREN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,N,N,1231,27,14,1165751,1898237,41.87635115,-87.66688087,"(41.876351148, -87.666880865)"
JD363363,9/11/2020 3:36,033XX W 63RD ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),N,N,823,23,08A,1155230,1862652,41.7789191,-87.70646393,"(41.7789191, -87.706463927)"
JD364128,9/11/2020 18:00,049XX S JUSTINE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,N,N,933,20,04A,1166842,1871872,41.80397972,-87.66362989,"(41.803979716, -87.663629889)"
JD363791,9/11/2020 7:00,036XX W GRENSHAW ST,810,THEFT,OVER $500,STREET,N,N,1133,24,6,1152299,1894797,41.86718742,-87.7163631,"(41.867187416, -87.716363095)"
